gender,age_clean,bmi,height_m,weight_kg,overweight_family,consum_cf,consum_vf,consum_daily,consum_other,smoking,consum_water,cal_monitoring,phyical_activity,device_usage,consum_alchohol,transportation,Obesity
Male,21,20.06,1.61,52.0,1,0,2,4,Frequently,yes,2,no,3,2,no,pt,1
Male,22,22.91,1.71,67.0,1,1,2,1,Frequently,no,2,no,1,2,Always,w,1
Female,24,20.45,1.61,53.0,0,1,2,4,Frequently,no,2,no,2,1,Sometimes,c,1
Male,20,24.86,1.76,77.0,1,1,3,3,Sometimes,no,2,yes,3,1,Sometimes,pt,1
Male,24,25.21,1.69,72.0,0,1,2,3,Sometimes,no,2,no,2,2,Frequently,w,1
Male,30,26.51,1.78,84.0,0,1,1,4,Frequently,no,3,no,1,1,no,mb,2
Female,32,27.69,1.59,70.0,1,0,2,1,Sometimes,no,1,no,1,0,Sometimes,pt,3
Female,25,24.3,1.78,77.0,0,0,2,3,Sometimes,no,3,no,1,1,Sometimes,w,1
Male,40,28.4,1.8,92.0,0,0,2,1,Sometimes,no,2,no,1,0,Sometimes,pt,3
Male,23,23.23,1.66,64.0,0,1,2,4,Frequently,no,2,no,2,0,Sometimes,pt,1
Female,22,29.38,1.51,67.0,1,0,2,3,Sometimes,no,2,no,2,2,Sometimes,pt,3
Female,23,20.28,1.57,50.0,0,1,2,3,Sometimes,no,1,yes,2,0,no,w,1
Female,22,19.29,1.61,50.0,0,1,2,3,Sometimes,no,1,no,1,0,Sometimes,pt,1
Male,24,24.68,1.66,68.0,1,1,2,3,Sometimes,no,2,no,1,1,Sometimes,pt,1
Female,22,28.73,1.76,89.0,1,1,2,3,Sometimes,no,3,no,3,0,Sometimes,pt,3
Female,22,26.93,1.68,76.0,1,1,2,3,Sometimes,no,2,no,1,0,Sometimes,pt,2
Male,24,21.71,1.69,62.0,0,0,2,4,Frequently,no,2,no,1,0,no,w,1
Female,22,23.67,1.67,66.0,1,1,1,3,Sometimes,no,1,no,1,0,no,pt,1
Male,22,22.95,1.67,64.0,1,1,2,3,Sometimes,yes,2,no,1,1,Frequently,pt,1
Male,22,24.45,1.82,81.0,0,0,1,3,no,no,2,no,2,0,no,pt,1
Female,22,28.25,1.54,67.0,1,0,2,3,Sometimes,no,1,no,1,1,no,pt,3
Male,22,21.8,1.83,73.0,1,1,1,3,Frequently,no,3,no,2,0,Sometimes,pt,1
Male,22,23.89,1.76,74.0,1,1,1,3,Frequently,no,3,no,2,0,Sometimes,pt,1
Female,21,21.87,1.67,61.0,1,0,3,3,Sometimes,no,2,no,1,0,Sometimes,w,1
Female,22,21.37,1.56,52.0,0,1,2,3,Sometimes,no,2,no,1,0,Sometimes,pt,1
Female,22,21.53,1.62,56.5,1,1,3,3,Sometimes,no,3,no,1,1,Sometimes,w,1
Female,21,20.17,1.51,46.0,0,1,2,3,Sometimes,no,1,no,1,0,Sometimes,c,1
Female,24,19.47,1.65,53.0,0,1,3,1,Sometimes,no,2,no,2,2,no,pt,1
Female,24,20.82,1.64,56.0,1,0,3,3,no,no,2,yes,2,1,no,pt,1
Female,23,21.6,1.61,56.0,0,0,3,4,Always,no,3,no,2,0,no,pt,1
Male,24,22.06,1.69,63.0,0,0,2,4,Frequently,no,2,no,1,0,Sometimes,c,1
Male,23,24.62,1.71,72.0,1,1,2,3,Sometimes,no,1,no,1,1,Sometimes,c,1
Male,22,24.61,1.65,67.0,1,0,2,3,Sometimes,no,1,no,1,1,no,pt,1
Female,18,24.68,1.66,68.0,1,1,3,1,Sometimes,no,2,no,1,1,no,w,1
Male,21,18.19,1.77,57.0,1,1,2,4,Sometimes,no,3,no,2,2,no,pt,0
Female,22,20.96,1.56,51.0,1,1,2,3,Sometimes,no,3,no,3,1,Sometimes,pt,1
Male,21,21.77,1.66,60.0,0,1,2,3,Sometimes,no,2,no,3,1,Sometimes,pt,1
Male,23,22.68,1.68,64.0,0,1,2,1,no,no,2,no,1,0,Sometimes,pt,1
Male,23,19.61,1.69,56.0,1,1,2,3,Sometimes,no,2,no,1,2,Sometimes,c,1
Female,22,20.8,1.67,58.0,1,1,2,3,Frequently,no,1,no,1,1,no,pt,1
Female,22,26.72,1.63,71.0,1,1,1,3,Frequently,no,2,no,1,1,no,pt,2
Male,24,27.78,1.81,91.0,1,1,1,3,Always,no,2,no,1,2,Frequently,pt,3
Male,24,34.84,1.66,96.0,1,1,2,3,Always,no,2,no,1,1,Frequently,c,4
Male,31,36.39,1.77,114.0,1,1,1,3,no,yes,2,yes,1,0,Frequently,c,5
Male,24,18.92,1.81,62.0,1,0,2,3,no,no,3,no,1,1,Sometimes,pt,1
Female,24,29.76,1.66,82.0,1,1,2,3,Always,no,2,no,1,2,no,pt,3
Female,24,18.42,1.68,52.0,1,0,3,3,no,no,3,yes,2,1,Sometimes,pt,0
Female,25,22.14,1.66,61.0,1,0,2,3,Sometimes,no,3,yes,1,0,no,pt,1
Male,20,19.37,1.86,67.0,1,0,2,3,Sometimes,no,3,no,2,1,Sometimes,b,1
Male,25,28.86,1.71,84.4,1,1,2,3,Frequently,no,3,no,1,1,Frequently,pt,3
Female,24,17.47,1.64,47.0,1,0,3,3,Sometimes,no,3,yes,2,0,no,pt,0
Female,25,18.13,1.61,47.0,1,0,2,3,no,no,2,no,1,0,no,pt,0
Female,25,28.04,1.71,82.0,1,1,2,3,Sometimes,no,3,no,1,0,no,pt,3
Female,24,33.02,1.66,91.0,1,1,2,3,Sometimes,no,3,no,1,1,no,pt,4
Male,24,22.14,1.66,61.0,1,0,2,3,Sometimes,no,2,no,1,0,Sometimes,pt,1
Female,20,22.31,1.64,60.0,0,0,3,3,Sometimes,no,2,yes,1,0,no,pt,1
Male,31,28.08,1.81,92.0,1,1,2,3,Frequently,no,2,no,1,0,Sometimes,pt,3
Male,24,30.65,1.68,86.5,1,1,2,3,Always,no,2,no,1,1,no,pt,4
Female,20,17.75,1.61,46.0,0,0,3,3,no,no,3,yes,2,0,no,w,0
Male,26,28.73,1.71,84.0,1,1,2,3,Frequently,no,2,no,1,1,Sometimes,pt,3
Male,24,21.59,1.66,59.5,1,0,2,3,Sometimes,no,2,no,1,0,no,pt,1
Male,22,24.28,1.86,84.0,1,1,2,1,Frequently,no,3,no,1,0,no,pt,1
Male,20,26.28,1.83,88.0,1,1,2,3,Sometimes,no,2,no,1,0,no,pt,2
Female,23,24.31,1.66,67.0,1,1,2,3,Frequently,no,2,yes,1,0,no,c,1
Female,30,27.02,1.71,79.0,1,1,3,3,Sometimes,no,1,no,2,1,Frequently,c,3
Female,26,35.32,1.64,95.0,0,0,3,4,Always,no,1,no,2,0,no,pt,5
Female,21,25.15,1.62,66.0,1,0,3,3,Always,no,2,yes,1,1,Frequently,pt,1
Male,56,26.84,1.79,86.0,1,0,3,4,Frequently,no,3,yes,3,0,Frequently,w,2
Female,21,22.38,1.61,58.0,0,0,3,3,Always,no,2,no,1,0,no,w,1
Female,25,19.29,1.61,50.0,0,1,3,3,Sometimes,no,2,no,2,0,no,pt,1
Male,27,24.28,1.71,71.0,1,0,3,1,Frequently,no,2,no,2,0,Frequently,pt,1
Female,24,21.87,1.67,61.0,1,0,2,3,Sometimes,no,2,no,3,0,Sometimes,pt,1
Female,22,18.8,1.53,44.0,0,0,3,1,Frequently,no,1,no,1,0,Sometimes,pt,0
Female,22,18.37,1.53,43.0,0,0,3,1,Frequently,no,1,no,1,0,Sometimes,pt,0
Male,24,24.06,1.73,72.0,0,0,2,3,Sometimes,no,2,no,3,1,Frequently,pt,1
Female,22,22.15,1.7,64.0,0,1,3,1,Sometimes,no,1,no,1,0,Sometimes,pt,1
Male,23,23.05,1.71,67.4,1,0,2,3,Frequently,no,2,no,1,0,no,pt,1
Female,22,23.83,1.56,58.0,0,1,2,4,Frequently,no,2,yes,2,0,Sometimes,c,1
Female,23,21.41,1.66,59.0,1,1,3,4,Frequently,no,2,no,1,0,Sometimes,pt,1
Female,39,33.27,1.57,82.0,1,1,2,3,Sometimes,no,2,no,1,0,Sometimes,c,4
Female,26,22.43,1.58,56.0,0,1,2,1,Sometimes,no,2,no,2,0,Sometimes,pt,1
Female,26,22.83,1.58,57.0,0,1,2,1,Sometimes,no,2,no,2,0,Sometimes,pt,1
Male,23,25.48,1.89,91.0,1,1,2,3,Always,no,1,no,1,1,Sometimes,c,2
Male,23,31.31,1.76,97.0,1,0,2,3,Sometimes,no,3,no,3,2,no,w,4
Female,22,32.3,1.66,89.0,1,1,3,1,Sometimes,no,3,no,2,1,no,pt,4
Male,22,24.54,1.76,76.0,1,1,3,3,Sometimes,no,2,no,1,1,Sometimes,pt,1
Female,23,23.73,1.59,60.0,1,1,2,1,Sometimes,no,1,no,1,0,no,pt,1
Female,19,21.1,1.57,52.0,1,1,2,4,Frequently,no,2,no,1,0,Sometimes,pt,1
Female,23,22.37,1.51,51.0,1,0,2,1,Sometimes,no,2,no,3,0,no,w,1
Female,20,24.39,1.62,64.0,1,1,3,1,Frequently,no,2,no,1,0,Frequently,pt,1
Female,18,18.72,1.76,58.0,1,1,3,3,Frequently,no,2,no,1,1,no,pt,1
Female,16,31.93,1.66,88.0,1,1,3,3,Sometimes,no,1,no,3,2,no,w,4
Female,18,29.41,1.71,86.0,1,0,2,3,Frequently,no,2,no,1,1,no,pt,3
Male,24,20.32,1.63,54.0,1,1,2,3,Sometimes,no,2,no,1,1,Sometimes,pt,1
Female,20,29.0,1.64,78.0,1,0,3,3,Frequently,yes,3,no,2,1,Sometimes,c,3
Female,24,27.28,1.68,77.0,1,1,2,3,Frequently,yes,2,no,1,2,no,w,2
Male,24,27.16,1.88,96.0,1,1,1,3,Frequently,no,2,no,1,2,Frequently,pt,3
Male,22,16.79,1.76,52.0,1,0,3,4,Frequently,no,1,no,1,0,no,w,0
Male,25,24.38,1.67,68.0,1,1,3,1,Sometimes,no,2,no,1,0,no,pt,1
Male,24,29.37,1.77,92.0,0,1,3,3,Sometimes,no,1,no,1,0,no,pt,3
Male,19,26.15,1.76,81.0,1,1,2,3,Always,no,2,no,1,0,Frequently,pt,2
Male,20,24.45,1.68,69.0,0,1,2,3,Sometimes,no,2,no,1,0,Sometimes,pt,1
Female,20,22.5,1.66,62.0,0,1,3,1,Sometimes,no,3,yes,1,0,Sometimes,pt,1
Male,21,23.72,1.73,71.0,1,1,3,3,Frequently,no,1,no,1,0,Sometimes,pt,1
Male,28,28.86,1.71,84.4,0,1,3,3,Sometimes,no,3,no,1,1,Frequently,pt,3
Female,21,21.76,1.59,55.0,1,1,2,4,Frequently,no,2,no,1,1,no,pt,1
Male,24,22.21,1.63,59.0,0,0,2,3,Sometimes,no,1,no,1,0,no,pt,1
Female,20,20.69,1.66,57.0,1,1,3,3,Frequently,yes,3,yes,1,2,Frequently,pt,1
Female,62,24.31,1.66,67.0,0,1,3,3,Always,no,2,no,1,1,Frequently,pt,1
Male,31,35.03,1.78,111.0,1,1,3,3,Sometimes,no,1,no,2,0,Sometimes,c,4
Male,25,26.33,1.71,77.0,1,1,2,3,Sometimes,no,2,no,1,0,Sometimes,c,2
Male,26,22.53,1.8,73.0,1,1,2,3,Sometimes,no,2,no,1,1,Sometimes,pt,1
Male,45,31.63,1.61,82.0,1,0,2,3,Sometimes,yes,3,no,1,0,no,mb,4
Male,32,24.58,1.77,77.0,1,0,3,3,Always,no,3,yes,3,0,no,b,1
Male,26,23.94,1.71,70.0,0,1,2,3,Frequently,no,2,no,1,1,no,pt,1
Male,24,18.28,1.9,66.0,1,1,3,3,Frequently,no,3,no,1,1,Sometimes,pt,0
Male,26,18.96,1.88,67.0,0,1,3,3,Always,no,2,no,2,0,Frequently,pt,1
Male,24,30.86,1.75,94.5,0,1,2,3,Frequently,yes,1,no,1,1,Frequently,c,4
Female,35,26.96,1.69,77.0,0,1,3,1,Sometimes,no,1,no,1,0,Sometimes,c,2
Male,23,26.29,1.62,69.0,1,0,2,4,Sometimes,no,3,yes,2,2,Sometimes,pt,2
Male,22,27.1,1.63,72.0,0,1,2,1,no,no,3,no,1,0,Sometimes,pt,2
Female,25,21.5,1.57,53.0,0,0,3,3,Frequently,no,2,no,2,2,Frequently,pt,1
Female,37,30.12,1.64,81.0,1,0,3,3,Sometimes,no,1,no,1,0,Sometimes,c,4
Female,28,23.92,1.61,62.0,0,1,3,3,Always,no,2,no,1,0,Sometimes,c,1
Female,33,32.24,1.68,91.0,1,1,3,1,Sometimes,no,2,no,2,0,Sometimes,c,4
Male,26,24.66,1.79,79.0,1,1,2,1,Sometimes,no,2,no,2,1,Sometimes,pt,1
Female,31,22.96,1.63,61.0,1,1,3,3,Sometimes,no,2,no,2,0,Sometimes,c,1
Female,39,26.75,1.51,61.0,1,1,2,1,Always,yes,2,no,1,0,Sometimes,c,2
Male,35,29.76,1.7,86.0,1,0,2,3,Sometimes,no,3,no,2,0,no,c,3
Male,23,31.35,1.75,96.0,1,1,2,3,Sometimes,no,2,no,1,0,Sometimes,pt,4
Female,32,22.41,1.69,64.0,1,1,3,1,Frequently,no,2,no,1,1,Sometimes,c,1
Female,36,19.4,1.54,46.0,1,0,3,3,Frequently,no,1,no,1,1,no,c,1
Male,22,21.97,1.68,62.0,1,1,2,3,Frequently,no,2,no,2,1,Sometimes,pt,1
Female,41,25.89,1.56,63.0,1,0,3,3,Sometimes,no,3,no,1,0,Sometimes,c,2
Male,28,29.02,1.65,79.0,1,1,2,1,Sometimes,no,2,no,1,0,Frequently,c,3
Male,21,21.86,1.84,74.0,1,0,3,3,Sometimes,yes,1,no,2,1,Sometimes,pt,1
Male,56,29.39,1.66,81.0,0,1,2,3,Sometimes,no,2,no,1,0,no,c,3
Female,22,22.68,1.64,61.0,1,1,3,3,Always,yes,2,no,2,0,Sometimes,pt,1
Male,26,21.05,1.9,76.0,0,0,3,3,Frequently,no,2,yes,3,0,no,pt,1
Male,36,27.46,1.78,87.0,1,0,3,3,Frequently,no,3,no,2,1,Sometimes,c,3
Male,31,35.17,1.93,131.0,1,0,2,3,Sometimes,yes,1,no,1,0,Sometimes,pt,5
Female,30,24.16,1.75,74.0,1,0,3,3,Always,no,2,no,1,0,Sometimes,c,1
Male,21,29.39,1.66,81.0,1,0,2,3,Sometimes,no,2,no,1,2,no,w,3
Female,23,26.75,1.74,81.0,1,1,2,1,Sometimes,no,2,no,1,0,Sometimes,pt,2
Female,46,29.37,1.64,79.0,1,1,2,3,Frequently,no,1,no,1,0,no,c,3
Male,23,28.07,1.73,84.0,0,1,2,1,Sometimes,no,2,no,2,1,Sometimes,pt,3
Male,19,22.76,1.61,59.0,1,1,2,3,Frequently,no,2,no,1,0,Sometimes,pt,1
Female,24,22.14,1.66,61.0,0,0,3,1,Sometimes,no,2,no,1,2,Sometimes,pt,1
Male,19,21.22,1.75,65.0,0,0,3,3,Sometimes,no,2,yes,1,1,no,pt,1
Male,22,26.72,1.63,71.0,0,1,2,1,no,no,3,no,1,0,Sometimes,pt,2
Female,39,22.33,1.65,60.8,1,1,2,3,Sometimes,no,2,no,2,0,no,pt,1
Female,19,20.03,1.58,50.0,1,1,3,1,Always,no,1,no,1,0,no,pt,1
Male,23,25.13,1.85,86.0,1,1,3,3,Frequently,no,2,yes,3,0,Sometimes,pt,1
Male,27,23.06,1.92,85.0,1,1,3,3,Frequently,yes,2,no,2,2,Frequently,pt,1
Male,22,27.1,1.63,72.0,0,1,2,1,no,no,3,no,1,0,Sometimes,pt,2
Female,19,19.78,1.59,50.0,0,1,2,3,Sometimes,no,2,no,1,0,no,pt,1
Female,24,23.81,1.69,68.0,1,1,2,3,Frequently,no,1,no,1,0,Sometimes,pt,1
Female,23,18.56,1.69,53.0,0,1,3,3,Frequently,no,2,no,1,1,no,pt,0
Female,24,27.93,1.49,62.0,1,1,2,1,Sometimes,yes,1,no,1,0,Sometimes,pt,3
Male,22,26.72,1.63,71.0,0,1,2,1,no,no,3,no,1,0,Sometimes,pt,2
Female,32,31.77,1.63,84.4,0,0,3,3,Sometimes,no,2,no,1,0,Sometimes,c,2
Male,40,30.59,1.79,98.0,1,0,2,3,Sometimes,no,3,no,1,0,Frequently,c,4
Male,26,30.9,1.79,99.0,1,0,2,3,Sometimes,no,3,no,3,2,no,pt,4
Male,36,33.39,1.79,107.0,1,1,3,1,no,no,3,no,3,1,Frequently,c,4
Female,34,23.42,1.64,63.0,1,1,2,3,Sometimes,no,2,no,1,1,no,pt,1
Male,21,22.38,1.61,58.0,0,1,2,3,Sometimes,no,2,no,1,0,Sometimes,pt,1
Male,27,26.15,1.76,81.0,1,1,3,1,Frequently,yes,2,yes,2,0,Sometimes,pt,2
Male,21,25.4,1.84,86.0,1,0,3,3,Sometimes,no,3,yes,3,0,Sometimes,c,2
Male,21,21.53,1.79,69.0,0,0,2,1,Frequently,no,3,yes,2,1,no,pt,1
Female,24,32.79,1.61,85.0,1,1,3,3,Frequently,no,3,no,3,0,no,pt,4
Male,20,26.56,1.81,87.0,1,1,3,3,Sometimes,no,2,no,1,1,Sometimes,w,2
Male,23,24.54,1.76,76.0,1,0,2,3,Sometimes,no,2,no,1,2,Sometimes,b,1
Male,42,38.42,1.76,119.0,1,1,2,3,Sometimes,no,2,no,1,0,Sometimes,b,5
Female,19,16.02,1.6,41.0,1,1,2,1,Frequently,no,1,no,1,2,no,pt,0
Female,24,22.23,1.67,62.0,1,1,2,1,Sometimes,no,1,no,1,1,Sometimes,pt,1
Female,24,31.6,1.64,85.0,1,0,3,1,Sometimes,yes,3,no,1,2,Sometimes,pt,4
Female,42,33.71,1.55,81.0,1,1,2,3,Always,no,1,no,1,0,Sometimes,c,4
Female,27,42.19,1.57,104.0,1,1,3,3,Sometimes,yes,1,no,1,1,Sometimes,pt,6
Male,30,31.49,1.7,91.0,1,0,2,3,Sometimes,no,3,no,1,0,Sometimes,c,4
Male,28,21.56,1.84,73.0,1,1,2,3,Sometimes,no,2,no,3,2,no,c,1
Female,24,30.48,1.61,79.0,1,1,2,1,Sometimes,yes,2,no,1,0,Frequently,pt,4
Male,20,32.61,1.76,101.0,1,1,2,3,Frequently,no,2,no,2,0,no,pt,4
Male,31,23.89,1.76,74.0,1,0,2,3,no,no,2,yes,1,0,Sometimes,w,1
Female,23,22.84,1.7,66.0,1,1,2,3,Sometimes,no,2,no,1,1,Sometimes,pt,1
Female,23,22.84,1.7,66.0,1,1,2,3,Sometimes,no,2,no,1,1,Sometimes,pt,1
Male,21,35.1,1.81,115.0,1,1,2,3,Frequently,no,2,no,1,1,no,pt,5
Female,22,19.71,1.64,53.0,0,1,2,1,Sometimes,no,1,no,1,1,no,pt,1
Female,25,28.07,1.51,64.0,1,0,2,1,Sometimes,no,2,no,1,0,no,pt,3
Male,22,19.54,1.81,64.0,1,1,3,3,Sometimes,no,2,no,1,0,no,pt,1
Male,22,19.6,1.66,54.0,1,1,2,3,Sometimes,no,2,no,1,0,Sometimes,pt,1
Male,22,24.86,1.69,71.0,1,1,3,3,Sometimes,no,3,no,1,2,Sometimes,pt,1
Female,24,24.69,1.61,64.0,1,0,3,3,Frequently,no,2,no,3,0,Sometimes,w,1
Male,22,26.03,1.72,77.0,0,0,2,3,Frequently,no,3,yes,3,1,Frequently,c,2
Female,22,18.99,1.51,43.3,1,0,1,1,Sometimes,no,2,no,3,0,no,pt,1
Female,22,26.62,1.61,69.0,1,1,2,3,Sometimes,no,3,no,1,0,Sometimes,pt,2
Female,22,25.83,1.76,80.0,1,0,2,3,Frequently,no,2,yes,1,2,Frequently,pt,2
Male,24,28.07,1.73,84.0,1,1,2,1,Sometimes,no,1,no,1,1,Sometimes,pt,3
Female,22,22.55,1.73,67.5,1,1,3,4,Always,no,3,no,1,2,no,pt,1
Female,24,24.39,1.62,64.0,1,1,3,3,Frequently,no,3,no,1,0,no,pt,1
Female,24,31.23,1.64,84.0,1,1,2,1,Sometimes,no,2,no,1,0,no,pt,4
Male,26,36.03,1.84,122.0,1,0,3,3,Sometimes,no,3,no,2,0,Sometimes,w,5
Female,21,20.06,1.61,52.0,0,1,2,3,Sometimes,no,1,no,1,1,no,c,1
Female,25,22.21,1.63,59.0,0,1,3,3,Sometimes,no,2,no,1,1,Sometimes,pt,1
Female,41,28.71,1.69,82.0,0,0,3,3,Sometimes,no,3,no,1,0,no,c,3
Male,33,39.39,1.76,122.0,1,0,3,3,Sometimes,no,3,no,1,2,no,c,5
Male,21,25.49,1.91,93.0,1,1,3,4,Sometimes,no,3,no,2,0,Sometimes,w,2
Female,22,24.91,1.64,67.0,1,1,3,1,Sometimes,yes,3,no,1,0,Sometimes,pt,1
Female,52,20.31,1.6,52.0,1,0,3,3,Sometimes,yes,3,yes,2,0,no,pt,1
Female,35,27.31,1.69,78.0,1,0,3,1,Sometimes,no,2,no,1,0,Sometimes,c,3
Female,20,19.53,1.6,50.0,1,1,2,1,no,no,2,no,2,0,no,pt,1
Female,20,24.91,1.7,72.0,1,0,2,1,no,no,2,no,2,0,no,pt,1
Female,22,21.87,1.67,61.0,0,1,1,3,Always,no,2,yes,3,0,no,c,1
Female,20,31.0,1.65,84.4,1,1,3,3,Sometimes,no,1,no,1,1,no,pt,1
Female,21,20.7,1.63,55.0,0,1,3,1,Sometimes,no,3,no,1,1,no,pt,1
Female,20,22.57,1.71,66.0,1,1,3,3,no,no,3,yes,3,1,no,pt,1
Female,18,24.91,1.64,67.0,0,1,2,1,Sometimes,no,3,no,1,1,no,pt,1
Male,23,25.85,1.61,67.0,0,1,3,3,Sometimes,no,2,no,3,0,no,b,2
Female,21,24.17,1.64,65.0,1,1,1,3,Always,no,2,no,1,2,no,c,1
Male,34,29.19,1.86,101.0,1,1,2,3,Sometimes,yes,3,no,1,0,Sometimes,c,3
Female,22,20.81,1.55,50.0,1,0,2,1,Sometimes,no,2,yes,2,0,Sometimes,pt,1
Female,21,18.37,1.65,50.0,0,0,3,3,Sometimes,yes,2,no,2,1,Sometimes,c,0
Female,21,24.44,1.58,61.0,0,1,3,3,Sometimes,no,3,no,1,1,Sometimes,pt,1
Female,21,19.95,1.63,53.0,0,1,3,3,Frequently,no,1,no,3,1,no,c,1
Male,22,24.39,1.73,73.0,1,1,3,3,Always,no,3,yes,3,0,Sometimes,c,1
Male,22,25.54,1.77,80.0,1,1,3,1,Sometimes,no,2,no,3,0,Sometimes,w,2
Female,21,27.58,1.66,76.0,1,1,3,1,Sometimes,no,2,no,1,1,no,pt,3
Male,21,27.99,1.68,79.0,1,0,2,1,Sometimes,no,3,no,1,0,Frequently,c,3
Male,57,28.09,1.8,91.0,1,0,2,3,Sometimes,yes,2,no,1,0,Frequently,c,3
Female,27,19.14,1.6,49.0,1,1,2,1,Sometimes,no,2,no,1,2,Sometimes,pt,1
Female,23,20.94,1.65,57.0,1,0,3,3,Sometimes,no,2,no,1,0,no,pt,1
Male,20,25.9,1.79,83.0,1,0,1,3,Sometimes,no,2,no,3,0,no,b,2
Male,19,27.76,1.76,86.0,1,0,2,3,Sometimes,no,3,no,1,0,Sometimes,pt,3
Male,20,33.53,1.86,116.0,0,0,2,3,Sometimes,no,3,yes,1,2,no,pt,4
Male,19,28.04,1.71,82.0,0,0,3,1,Sometimes,no,1,no,1,0,no,pt,3
Female,19,32.6,1.68,92.0,1,1,1,3,Frequently,no,1,no,1,1,Sometimes,pt,4
Male,22,25.73,1.73,77.0,0,1,2,3,Sometimes,no,1,no,1,0,no,pt,2
Female,29,25.65,1.71,75.0,1,0,2,3,Frequently,no,2,yes,2,0,Sometimes,w,2
Male,19,23.18,1.75,71.0,0,1,2,3,Sometimes,no,2,no,1,1,Sometimes,pt,1
Male,24,17.63,1.75,54.0,0,1,2,3,Frequently,no,1,no,3,2,no,pt,0
Male,19,19.24,1.88,68.0,1,1,3,3,Frequently,no,3,yes,1,1,Sometimes,c,1
Male,19,17.78,1.71,52.0,0,1,1,3,Frequently,no,1,no,2,1,Sometimes,pt,0
Female,40,18.87,1.66,52.0,0,1,3,4,Frequently,no,2,no,1,0,Sometimes,pt,0
Male,39,27.02,1.71,79.0,0,1,3,3,Frequently,no,2,no,1,0,Frequently,c,3
Male,18,21.97,1.68,62.0,0,0,2,4,Always,no,2,no,1,2,no,pt,1
Male,24,22.39,1.73,67.0,1,1,2,3,Sometimes,no,2,no,1,1,Sometimes,w,1
Male,24,25.2,1.83,84.4,0,1,2,3,Sometimes,no,3,no,1,1,Sometimes,pt,4
Female,20,22.81,1.51,52.0,0,1,2,3,Frequently,no,1,no,1,2,Sometimes,pt,1
Male,19,20.86,1.71,61.0,0,1,2,3,Sometimes,no,2,no,2,1,no,pt,1
Male,26,24.34,1.72,72.0,1,1,2,3,Frequently,no,2,no,1,0,Sometimes,mb,1
Female,26,24.01,1.62,63.0,0,0,2,3,Sometimes,no,1,no,2,1,Sometimes,pt,1
Female,19,22.37,1.51,51.0,1,1,3,3,Frequently,no,2,no,1,1,Sometimes,pt,1
Male,17,18.42,1.68,52.0,1,1,2,1,Frequently,no,3,no,1,0,no,pt,0
Male,22,20.6,1.83,69.0,0,1,2,4,Always,yes,3,no,3,2,Sometimes,w,1
Female,33,23.63,1.58,59.0,1,1,3,3,Sometimes,no,2,no,1,0,Sometimes,c,1
